DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
"Journal Article","Intercultural dimensions in the treatment of traumatized refugee families.","This article conceptualizes problems of traumatized refugee families and describes therapeutic work that seeks to transcend dilemmas and tensions arising within the discourses on culture, trauma, and treatment. Several options for treatment that help avoid the usual traps and pitfalls in trauma treatment of culturally diverse populations are presented and discussed. These options include the use of multifocal conceptual lenses, the creation of possibilities for various interpretations within a flexible therapeutic setting, intercultural negotiations, and the invocation of culturally relevant resources. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Bala, Julia;Kramer, Sander","","","","Sage Publications","2010","","US","16","4","153","159","","","*Cross Cultural Differences;  *Refugees;  *Sociocultural Factors;  *Trauma;  *Treatment; Family","","2011-01946-016","Kramer, Sander: Bijlhouwerstraat 6, Utrecht, Netherlands, 3511 ZC, sander.kramer@inter.nl.net","1085-9373(Electronic);1534-7656(Print)","","https://doi.org/10.1177/1534765610369262"
"Journal Article","The incorporation of literature into clinical practice.","In this article, the importance of flexibility in clinical practice is discussed, and the incorporation of literature is taken as an example of such flexibility. Literature might for example provide opportunities for reflecting on emotions, relationships, and possible future selves. We present the work of 2 clinicians who used literature in their clinical practice, an approach that in these cases became fundamental for successful treatment. In the first case, the client introduced literature as an important topic and the clinician responded to the client’s need to discuss literature. In the second case, the clinician reflected on literature she had read herself. She thus understood the client and could establish a genuine therapeutic dialogue. Both cases show how flexible incorporation of literature and other modes of artistic expression can provide an opening space for therapeutic dialogue, and opportunities for reflection. Clinical practice is however currently focused on diagnoses and structured interventions. Therefore, the possibility to approach clients in a flexible manner needs to be acknowledged and supported. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Punzi, Elisabeth;Hagen, Niclas","","","","Educational Publishing Foundation","2017","","US","45","1","49","61","","","*Clinical Practice;  *Humanistic Psychology;  *Literature; Therapeutic Processes","","2017-02738-001","Punzi, Elisabeth: Department of Psychology, University of Gothenburg, Box 500, Gothenburg, Sweden, 40530, elisabeth.punzi@psy.gu.se","1547-3333(Electronic);0887-3267(Print)","","https://doi.org/10.1037/hum0000053"
"Letter","Chronic pain and the adaptive significance of positive emotions.","The February–March 2014 special issue of the American Psychologist featured articles summarizing select contributions from the field of psychology to the assessment and treatment of chronic pain. The articles examined a range of psychosocial and family factors that influence individual adjustment and contribute to disparities in pain care. The reviews also considered the psychological correlates and neurophysiological mechanisms of specific pain treatments, including cognitive–behavioral therapy, hypnosis, acceptance and commitment therapy, mindfulness, and meditation. Although a number of articles emphasized the role that negative states of mind play in pain outcomes, positive emotions were given only brief mention. Here, we provide a rationale for the inclusion of positive emotions in chronic pain research. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Ong, Anthony D.;Zautra, Alex J.;Reid, M. Carrington","","","","American Psychological Association","2015","","US","70","3","283","284","","","*Adjustment;  *Chronic Pain;  *Emotions;  *Intervention;  *Scientific Communication; Measurement; Treatment; Positive Emotions","25844656","2015-14441-009","Ong, Anthony D.: Department of Human Development, Cornell University, G77 Martha Van Rensselaer Hall, Ithaca, NY, US, 14853-4401, ado4@cornell.edu","1935-990X(Electronic);0003-066X(Print)","","https://doi.org/10.1037/a0038816"
"Journal Article","Positive social psychology: A multilevel inquiry into sociocultural well-being initiatives.","Although the field of positive psychology has made great strides in developing interventions for well-being, many of these are aimed at individuals, designed to engender adaptive psychological qualities and skills. As such, relatively little attention has been paid within the field to the sociocultural factors that influence health and well-being. However, there is an emergent body of work that does focus on these factors, as summarized in this paper. Using Bronfenbrenner’s (1977) multilevel ecological systems theory as a framework, the paper provides an overview of sociocultural well-being interventions and research at multiple levels of scale (microsystems, mesosystems, exosystems, macrosystems, and ecosystems). In doing so, the paper has 2 main aims: (a) to show how positive change in well-being can be affected by the strategic manipulation of sociocultural contextual factors; and (b) to suggest ways in which the adoption of such a contextual approach can inform policy making. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Lomas, Tim","","","","American Psychological Association","2015","","US","21","3","338","347","","","*Initiative;  *Intervention;  *Positive Psychology;  *Sociocultural Factors;  *Well Being; Policy Making","","2015-24690-001","Lomas, Tim: School of Psychology, The University of East London, AE.3.29, Stratford Campus, Water Lane, London, United Kingdom, E15 4LZ, t.lomas@uel.ac.uk","1939-1528(Electronic);1076-8971(Print)","","https://doi.org/10.1037/law0000051"
"Journal Article","Psychological and relational health profiles of soldiers in committed romantic relationships.","The present study explored the heterogeneity of military service members’ psychological and relational functioning using a sample of 7,866 soldiers in committed romantic relationships from the Army Study to Assess Risk and Resilience in Service members (Army STARRS). A latent profile analysis was conducted to identify and predict unique clusters of soldiers’ relative psychological (i.e., posttraumatic stress disorder, depression, and anxiety symptom severity) and relational (i.e., relationship happiness, how often their relationship was going well, how often they confided in their partner, how often they considered or discussed ending their relationship, relational insecurity, and relational turbulence) functioning. Results revealed 4 distinct classes of comparative psychological and relational health: hardy soldiers and healthy relaters (70.2%), stressed soldiers but healthy relaters (13.1%), hardy soldiers but strained relaters (12.7%), and stressed soldiers and strained relaters (4.0%). Class descriptions, as well as implications for theory and clinical practice are reviewed. Notably, 7 out of 10 soldiers in this nationally representative sample reported little to no psychological or relational distress. These findings invite more adaptive narratives of service member resilience and a more nuanced conceptualization of gradations in psychological and relational functioning. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Ruhlmann, Lauren M.;Nelson Goff, Briana S.;Novak, Joshua R.;Fuss, Caroline;Gnagi, Taylor;Schiferl, Michael","","","","American Psychological Association","2018","","US","32","8","1057","1067","","","*Army Personnel;  *Military Personnel;  *Resilience (Psychological);  *Romance;  *Interpersonal Relationships; Anxiety; Happiness; Major Depression; Posttraumatic Stress Disorder; Profiles (Measurement); Severity (Disorders); Test Construction","30299132","2018-49868-001","Ruhlmann, Lauren M.: Department of Human Development & Family Studies, Auburn University, 203 Spidle Hall, 261 Mell Street, Auburn, AL, US, 36849-5604, lmr0051@auburn.edu","1939-1293(Electronic);0893-3200(Print)","","https://doi.org/10.1037/fam0000471"
"Journal Article","Universal design for learning.","The concept of universal design (UD) emerged from architectural design of buildings that offer access for all who enter them. An innovation that was promulgated following state and federal legislation, UD is now required in all public buildings to make them fully accessible to the widest spectrum of users, including people with disabilities. The UDL framework provides guidance for creating flexible curricula and instructional environments, and for using technology to maximize success for all students, including those with physical and/or psychiatric disabilities. The UDL perspective embraces the idea of instructor creativity in developing teaching strategies and assessment techniques that are effective for all learners, while still maintaining the integrity of the course and achieving its objectives. UDL creates a learning culture in which diversity is accepted and embraced, and where all students are encouraged to learn and demonstrate their knowledge in a variety of ways. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Bernacchio, Charles;Mullen, Michelle","","","","International Association of Psychosocial Rehabilitation Services and Department of Rehabilitation Counseling, Sargent College of Health and Rehabilitation Services, Boston University","2007","","US","31","2","167","169","","","*Built Environment;  *Disabilities;  *Environmental Planning;  *Learning; Legislative Processes","18018964","2007-17828-012","","1559-3126(Electronic);1095-158X(Print)","","https://doi.org/10.2975/31.2.2007.167.169"
"Journal Article","Client factors that predict the therapeutic alliance in a chronic, complex trauma sample.","This investigation aimed to examine how specific client characteristics of individuals with chronic, complex trauma are associated with the type of coping strategies that they use and the quality of the therapeutic alliance. Fifty-nine adult participants with diagnostic levels of posttraumatic stress disorder (PTSD) and who attended therapy for complex trauma in Northern Ireland were obtained via opportunity sampling. Participants completed self-report measures of client attachment style, alexithymia, coping strategies, and the therapeutic alliance. Preoccupied attachment factors such as Need for Approval and Preoccupation with Relationships were related to use of maladaptive coping strategies. In contrast, the adaptive coping strategies of Acceptance and Instrumental Support were significant predictors of a positive therapeutic alliance whereas established psychological and traumatogenic factors (e.g., attachment, number of traumatic events) did not significantly predict the therapeutic alliance. The findings have implications for understanding the relationship between client characteristics and the therapeutic alliance within complex trauma populations as well as developing protocols to assist this process. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Reynolds, Catherine;Simms, Jane;Webb, Kevin;Corry, Mary;McDermott, Brian;Ryan, Margaret;Shannon, Maria;Dyer, Kevin F. W.","","","","Educational Publishing Foundation","2017","","US","23","4","294","302","","","*Client Characteristics;  *Coping Behavior;  *Posttraumatic Stress Disorder;  *Therapeutic Alliance; Trauma","","2017-18112-001","Dyer, Kevin F. W.: School of Psychology, Queen’s University Belfast, David Keir Building, 18-30 Malone Road, Belfast, Northern Ireland, BT9 5NP, k.dyer@qub.ac.uk","1085-9373(Electronic)","","https://doi.org/10.1037/trm0000114"
"Journal Article","Quality of life for youth with persistent postconcussive symptoms following mild traumatic brain injury.","The primary aim of this study was to characterize parent- and youth-reported health-related quality of life (HRQOL) for youth experiencing persistent symptoms following mild traumatic brain injury (mTBI). The youth in the current study were participating in a longitudinal project examining neuropsychological consultation as an intervention for persistent symptoms after mTBI. Participants included 71 youth aged 8 to17 years old who had sustained mild head injuries 2 to 12 months prior to enrollment and who were referred clinically to an outpatient pediatric concussion program because of concerns about persistent problems. Parents and children completed the PedsQL over the phone at the time of enrollment. Child- and parent-reported HRQOL was significantly worse than for other pediatric populations with a variety of chronic health conditions. HRQOL was not associated with injury-related factors. One important novel finding was that families involved in litigation reported significantly lower HRQOL than families not involved in litigation. Providers would benefit from screening for involvement in litigation early on. Children who experience persistent symptomatology and impaired functioning following mTBI are likely to benefit most from early intervention and reassurance de-emphasizing injury-related factors and focusing on cognitive–behavioral treatment aimed at improving adaptive coping, pain management, and stress reduction. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Simpson, Tess S.;Peterson, Robin L.;Mason, Derek S.;Connery, Amy K.;Baker, David A.;Kirkwood, Michael W.","","","","Educational Publishing Foundation","2017","","US","5","3","248","257","","","*Brain Concussion;  *Quality of Care;  *Traumatic Brain Injury; Health; Neuropsychology; Professional Consultation; Symptoms","","2017-24436-001","Simpson, Tess S.: Children’s Hospital Colorado, 13123 East 16th Avenue, Box 285, Aurora, CO, US, 80045, tess.simpson@childrenscolorado.org","2169-4834(Electronic);2169-4826(Print)","","https://doi.org/10.1037/cpp0000195"
"Journal Article","The power of the mand: Utilizing the mand repertoire to decrease problem behavior.","The acquisition of a competent manding repertoire can present a challenge for a typically developing child with verbal behavior; it can be even more cumbersome for a child with autism who is effectively vocally nonverbal. Minshawi et al. (2014) recognized that the side effects of language delays, such as self-injurious behavior (SIB), must also be addressed because of the high correlation between SIB and a limited vocal verbal repertoire. The present study examined the relationship between SIB and a manding repertoire with 2 methods of communication. The participant of the present study was a 12-year-old boy who received direct, 1-on-1 Applied Behavior Analysis (ABA) therapy, emphasizing the development of the verbal repertoire. The study focused on 2 goals: establishing an effective manding repertoire while decreasing SIB. The subject began the study using PECS as his primary communication system, adaptive sign language was introduced as a secondary method of communication. The results suggest a correlation between an increased verbal repertoire and the decrease of SIB. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Cornelius Habarad, Sheila M.","","","","Educational Publishing Foundation","2015","","US","20","2","158","162","","","*Autism Spectrum Disorders;  *Behavior Analysis;  *Self-Injurious Behavior; Sign Language","","2015-48180-001","Cornelius Habarad, Sheila M.: B. F. Skinner Foundation, 18 Brattle Street, Suite 451, Cambridge, MA, US, 02138, scornelius81@msn.com","1942-0722(Electronic)","","https://doi.org/10.1037/h0101310"
"Journal Article","State of the art procedures for Assessment and treatment of learners with behavioral problems.","Challenging behavior can create significant obstacles to academic and social progress for individuals in a school setting, particularly those with developmental disabilities. Functional assessments such as rating scales, ABC analyses, and functional analyses, are evidenced to be the most effective methods for identifying the maintaining variables of problem behavior and for informing efficient, function-based interventions. Although the empirical literature and federal mandates support the use of functional assessment, obstacles to the practical application of these procedures in school settings (e.g., training requirements, time constraints) may deter school staff from using them consistently. Recent research has addressed some of these concerns, and there is developing evidence for briefer, more user-friendly versions of functional assessment. Practitioners can maximize the effectiveness of the intervention process by linking treatment components to functional assessment results. Effective, function-based interventions are comprised of procedures designed to reduce target behavior prior to it occurrence, procedures to teach the learner to access the reinforcer (or an adaptive alternative) appropriately, and systematic procedures for responding to the behavior. Future studies should continue to refine these procedures and address the use of functional assessment with ext ended populations, including adults with disabilities and typically developing children. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","LaRue Jr., Robert H.;Weiss, Mary Jane;Ferraioli, Suzannah J.","","","","Joseph D. Cautilli","2008","","US","4","2","250","263","","","*Behavior Problems;  *Experimentation;  *Functional Analysis;  *School Based Intervention; Treatment","","2009-04079-011","LaRue, Robert H., Jr.: Douglass Developmental Disabilities Center, Rutgers, State University of New Jersey, 151, Ryders Lane, New Brunswick, NJ, US, 08901, larue@rci.rutgers.edu","1555-7855(Electronic)","","https://doi.org/10.1037/h0100847"
